ticker,sector,entry_date,entry_price,entry_score,exit_date,exit_price,exit_reason,shares,pnl,pnl_pct,days_held,investment
DIXON,Misc,2022-11-14,4553.72,69.4,2022-12-08,4189.43,STOP_LOSS,4,-1457.19,-8.0,24,18214.89
PNB,Banking,2022-11-02,36.81,66.6,2022-12-21,48.87,STOP_LOSS,543,6547.82,32.76,49,19989.05
ADANIPORTS,Infra,2022-11-17,868.42,65.1,2022-12-23,798.95,STOP_LOSS,23,-1597.89,-8.0,36,19973.68
POLYCAB,Consumer,2022-12-19,2708.71,67.8,2022-12-23,2492.01,STOP_LOSS,7,-1516.88,-8.0,4,18960.96
HINDUNILVR,FMCG,2022-12-20,2535.41,67.3,2023-02-22,2332.57,STOP_LOSS,8,-1622.66,-8.0,64,20283.26
DALBHARAT,Cement,2023-02-23,1884.22,66.0,2023-03-13,1731.71,STOP_LOSS,10,-1525.09,-8.09,18,18842.2
MANAPPURAM,Finance,2023-03-31,115.57,66.9,2023-05-03,106.32,STOP_LOSS,173,-1599.48,-8.0,33,19993.48
DIXON,Misc,2023-05-29,3669.88,65.0,2023-07-05,4217.53,STOP_LOSS,5,2738.25,14.92,37,18349.4
GAIL,OilGas,2023-03-06,92.02,65.0,2023-08-14,102.22,STOP_LOSS,218,2222.41,11.08,161,20060.57
LT,Other,2022-11-07,1945.74,66.4,2023-10-25,2854.98,STOP_LOSS,10,9092.39,46.73,352,19457.42
PETRONET,OilGas,2023-09-13,210.6,70.8,2023-10-26,193.75,STOP_LOSS,105,-1769.05,-8.0,43,22113.14
TVSMOTOR,Auto,2023-04-21,1115.32,69.4,2023-12-21,1913.71,STOP_LOSS,18,14371.06,71.58,244,20075.71
JINDALSTEL,Metals,2023-07-11,624.28,65.6,2023-12-21,684.46,STOP_LOSS,33,1986.18,9.64,163,20601.16
BPCL,OilGas,2023-11-23,171.84,68.2,2024-02-02,234.57,TRAILING_STOP,129,8092.39,36.51,71,22166.78
IDEA,Telecom,2024-02-27,17.05,66.1,2024-02-27,15.69,STOP_LOSS,1418,-1934.15,-8.0,0,24176.9
APOLLOHOSP,Other,2023-11-20,5433.44,65.0,2024-02-29,6269.05,STOP_LOSS,4,3342.45,15.38,101,21733.75
LT,Other,2024-03-15,3502.74,68.5,2024-05-09,3222.52,STOP_LOSS,6,-1681.31,-8.0,55,21016.43
ICICIBANK,Banking,2023-04-25,877.01,67.1,2024-06-04,1068.42,STOP_LOSS,23,4402.3,21.82,406,20171.25
DIXON,Misc,2024-03-04,7037.55,65.1,2024-06-04,9013.01,STOP_LOSS,3,5926.37,28.07,92,21112.65
MOTHERSON,Auto,2024-04-15,77.56,68.7,2024-06-04,90.97,STOP_LOSS,316,4238.28,17.29,50,24509.81
TECHM,IT,2024-05-17,1206.67,65.4,2024-06-04,1110.13,STOP_LOSS,20,-1930.67,-8.0,18,24133.36
IDEA,Telecom,2024-06-07,15.05,65.6,2024-07-23,14.58,STOP_LOSS,1659,-778.78,-3.12,46,24967.95
PIDILITIND,Chemicals,2024-02-29,1326.62,69.0,2024-08-13,1490.28,STOP_LOSS,18,2945.9,12.34,166,23879.1
GODREJCP,FMCG,2024-09-11,1452.81,67.3,2024-09-27,1336.58,STOP_LOSS,17,-1975.82,-8.0,16,24697.74
SONACOMS,Misc,2024-09-03,712.9,70.9,2024-10-11,655.87,STOP_LOSS,34,-1939.1,-8.0,38,24238.71
TATAELXSI,IT,2024-08-30,7732.35,65.4,2024-10-18,7113.76,STOP_LOSS,3,-1855.76,-8.0,49,23197.04
M&M,Auto,2024-10-09,3106.95,71.0,2024-10-21,2858.39,STOP_LOSS,7,-1739.89,-8.0,12,21748.64
POLYCAB,Consumer,2024-10-17,7082.77,65.0,2024-10-24,6516.15,STOP_LOSS,3,-1699.87,-8.0,7,21248.31
TATACHEM,Chemicals,2024-10-23,1111.83,66.2,2024-11-13,1022.88,STOP_LOSS,21,-1867.87,-8.0,21,23348.33
BAJAJFINSV,Finance,2024-09-02,1793.99,66.0,2024-11-14,1650.47,STOP_LOSS,13,-1865.75,-8.0,73,23321.93
PETRONET,OilGas,2024-12-13,326.38,68.8,2025-01-13,300.27,STOP_LOSS,72,-1879.92,-8.0,31,23499.01
RELIANCE,OilGas,2025-04-01,1253.77,66.8,2025-04-07,1122.51,STOP_LOSS,19,-2494.06,-10.47,6,23821.68
SBICARD,Finance,2025-01-17,759.76,66.8,2025-06-19,935.56,STOP_LOSS,30,5274.0,23.14,153,22792.81
COROMANDEL,Chemicals,2025-07-28,2428.06,67.2,2025-08-13,2233.81,STOP_LOSS,9,-1748.2,-8.0,16,21852.5
ICICIBANK,Banking,2024-09-10,1217.22,68.4,2025-09-02,1379.04,STOP_LOSS,20,3236.48,13.29,357,24344.34
GLENMARK,Pharma,2025-09-19,2113.3,69.5,2025-09-30,1944.24,STOP_LOSS,11,-1859.7,-8.0,11,23246.3
CANBK,Banking,2025-09-23,114.98,66.0,2025-12-08,137.99,STOP_LOSS,204,4695.58,20.02,76,23455.34
NATIONALUM,Metals,2025-09-12,205.9,68.2,2026-01-09,325.04,STOP_LOSS,115,13700.5,57.86,119,23678.53
COROMANDEL,Chemicals,2025-12-10,2363.37,68.1,2026-01-21,2174.3,STOP_LOSS,10,-1890.7,-8.0,42,23633.74
IOC,OilGas,2025-10-01,142.84,65.3,2026-03-02,174.1,STOP_LOSS,164,5127.65,21.89,152,23425.44
POLYCAB,Consumer,2026-03-05,8291.66,67.3,2026-03-11,7628.33,STOP_LOSS,3,-1990.0,-8.0,6,24874.97
AXISBANK,Banking,2026-01-15,1297.8,69.1,2026-03-13,1193.98,STOP_LOSS,19,-1972.65,-8.0,57,24658.18
JSWSTEEL,Metals,2026-01-28,1224.96,65.9,2026-03-13,1126.97,STOP_LOSS,20,-1959.94,-8.0,44,24499.28
MFSL,Finance,2025-09-02,1630.0,68.3,2026-03-30,1499.6,STOP_LOSS,14,-1825.6,-8.0,209,22820.0
AXISBANK,Banking,2026-06-30,1356.65,65.9,2026-07-21,1245.0,STOP_LOSS,19,-2121.42,-8.23,21,25776.42
MARICO,FMCG,2025-07-10,724.44,65.1,2026-08-21,849.25,END_OF_DATA,33,4118.78,17.23,407,23906.47
MOTHERSON,Auto,2026-05-08,130.76,65.7,2026-08-21,169.38,END_OF_DATA,193,7453.14,29.53,105,25237.2
TORNTPHARM,Pharma,2026-05-20,4431.29,65.8,2026-08-21,4896.5,END_OF_DATA,5,2326.03,10.5,93,22156.47
GRASIM,Cement,2026-08-11,3360.0,65.0,2026-08-21,3308.0,END_OF_DATA,7,-364.0,-1.55,10,23520.0
SBIN,Banking,2026-08-13,1083.0,68.3,2026-08-21,1048.7,END_OF_DATA,24,-823.2,-3.17,8,25992.0
